weapon1,weapon2,hypothesis,accf,cmc,n,split1,split2,split3
183414,183414,1,90.5461,29,36,v,t,t
271400,271400,1,87.2341,34,38,t,t,v
117189,117189,1,80.9607,28,36,t,t,v
802941,802941,1,76.2932,31,40,t,v,t
522184,522184,1,69.6901,16,38,t,v,t
162764,162764,1,88.7232,32,38,v,t,t
164338,164338,1,80.057,22,36,t,t,v
185661,185661,1,90.4081,34,42,t,t,v
568993,568993,1,51.1308,33,42,v,t,t
105510,105510,1,78.7109,30,42,t,t,v
148142,148142,1,87.4925,28,31,t,v,t
115410,115410,1,73.9605,33,42,t,t,v
889531,889531,1,72.1365,36,42,t,t,v
164599,164599,1,54.429,11,34,t,v,t
895207,895207,1,82.022,28,31,v,t,t
116307,116307,1,74.0209,31,38,v,t,t
155749,155749,1,46.6361,10,36,t,v,t
987083,987083,1,81.8297,29,42,v,t,t
159161,159161,1,75.1244,30,42,v,t,t
255305,255305,1,58.5381,30,40,v,t,t
142246,142246,1,84.539,29,38,v,t,t
179830,179830,1,80.404,19,42,v,t,t
180865,180865,1,73.9083,20,31,v,t,t
588210,588210,1,89.417,30,38,v,t,t
156659,156659,1,82.3615,16,28,t,v,t
126156,126156,1,66.5402,16,36,v,t,t
972579,972579,1,90.2604,26,40,v,t,t
171658,171658,1,97.262,34,42,t,t,v
892635,892635,1,87.4673,33,36,v,t,t
462611,462611,1,83.2802,29,36,v,t,t
131431,131431,1,84.2605,27,38,t,t,v
168706,168706,1,67.6913,8,32,v,t,t
438763,438763,1,87.2935,33,38,t,v,t
107045,107045,1,86.9518,23,42,v,t,t
135298,135298,1,82.1615,31,48,t,v,t
286121,286121,1,91.2605,36,42,t,t,v
483190,483190,1,82.6841,31,42,t,t,v
460187,460187,1,53.8226,14,42,t,t,v
135369,135369,1,87.077,34,42,t,v,t
169437,169437,1,64.5271,25,42,t,t,v
170456,170456,1,88.5788,26,31,t,t,v
816547,816547,1,54.1917,22,36,t,v,t
856612,856612,1,87.6103,28,36,t,t,v
100702,100702,1,81.5853,34,38,t,t,v
116078,116078,1,93.4856,38,40,t,t,v
177901,177901,1,81.3657,22,36,t,v,t
158799,158799,1,73.8307,18,31,t,t,v
153131,153131,1,69.688,22,36,t,v,t
123187,123187,1,89.7809,35,42,t,t,v
329251,329251,1,25.3091,1,36,t,v,t
132505,132505,1,90.0744,35,36,t,v,t
166107,166107,1,87.1237,34,38,v,t,t
131562,131562,1,82.9244,21,29,v,t,t
871153,871153,1,91.4742,33,42,t,t,v
170088,170088,1,85.1943,32,36,v,t,t
139918,139918,1,71.5863,32,42,t,t,v
963836,963836,1,88.7745,22,36,t,t,v
117428,117428,1,21.7578,6,36,t,v,t
264822,264822,1,95.5032,26,32,v,t,t
860467,860467,1,80.1143,36,42,t,v,t
176067,176067,1,79.6856,27,32,t,t,v
