Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Score
4e8c,4e8c,4e8c87be73,4e8c87be73,Nickel,Brass,1,0.8326460427144101
4e8c,4e8c,4e8c87be73,4e8c87be73,Brass,Nickel,1,0.8331195196485586
db9f,db9f,db9f861795,db9f861795,Brass,Nickel,1,0.9060372650414742
db9f,db9f,db9f861795,db9f861795,Nickel,Brass,1,0.9060372650414743
d00b,d00b,d00bf582d1,d00bf582d1,Brass,Nickel,1,0.6978114584800831
d00b,d00b,d00bf582d1,d00bf582d1,Nickel,Brass,1,0.6978114584800827
5d53,5d53,5d53b1980d,5d53b1980d,Nickel,Nickel,1,0.9444291241407557
5d53,5d53,5d53b1980d,5d53b1980d,Nickel,Nickel,1,0.9444291241407557
eeb4,eeb4,eeb4c50ec0,eeb4c50ec0,Brass,Nickel,1,0.652604010228198
eeb4,eeb4,eeb4c50ec0,eeb4c50ec0,Nickel,Brass,1,0.6528783312481332
0db0,0db0,0db08b7f9e,0db08b7f9e,Brass,Nickel,1,0.9404036680410052
0db0,0db0,0db08b7f9e,0db08b7f9e,Nickel,Brass,1,0.9404036680410056
3aba,3aba,3aba1ffd71,3aba1ffd71,Brass,Brass,1,0.7665784568982369
3aba,3aba,3aba1ffd71,3aba1ffd71,Brass,Brass,1,0.7665784568982369
a54c,a54c,a54ce43a84,a54ce43a84,Nickel,Nickel,1,0.9133440112090656
a54c,a54c,a54ce43a84,a54ce43a84,Nickel,Nickel,1,0.9133105621439696
bd69,bd69,bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,0.9152395176922836
bd69,bd69,bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,0.9152395176922838
8d2c,8d2c,8d2c6884a2,8d2c6884a2,Brass,Brass,1,0.7898525972483078
8d2c,8d2c,8d2c6884a2,8d2c6884a2,Brass,Brass,1,0.789852597248308
e148,e148,e148843b1b,e148843b1b,Nickel,Nickel,1,0.9236735264126884
e148,e148,e148843b1b,e148843b1b,Nickel,Nickel,1,0.9254215295992168
867e,867e,867e742682,867e742682,Nickel,Brass,1,0.9674447850142257
867e,867e,867e742682,867e742682,Brass,Nickel,1,0.9674447850142259
81bb,81bb,81bb3cb084,81bb3cb084,Brass,Brass,1,0.8238228682157098
81bb,81bb,81bb3cb084,81bb3cb084,Brass,Brass,1,0.8238228682157097
46a9,46a9,46a94c0ba6,46a94c0ba6,Brass,Brass,1,0.9441464224343122
46a9,46a9,46a94c0ba6,46a94c0ba6,Brass,Brass,1,0.9441464224343122
1a61,1a61,1a61c27690,1a61c27690,Nickel,Brass,1,0.8449643944046653
1a61,1a61,1a61c27690,1a61c27690,Brass,Nickel,1,0.8449643944046659
63c6,63c6,63c6b83358,63c6b83358,Nickel,Brass,1,0.9355078424661681
63c6,63c6,63c6b83358,63c6b83358,Brass,Nickel,1,0.935507842466168
fb36,fb36,fb36246e43,fb36246e43,Nickel,Nickel,1,0.9444647078229373
fb36,fb36,fb36246e43,fb36246e43,Nickel,Nickel,1,0.9444647078229375
fa65,fa65,fa6595462f,fa6595462f,Brass,Brass,1,0.9542615643229101
fa65,fa65,fa6595462f,fa6595462f,Brass,Brass,1,0.9545141862594603
f9a6,f9a6,f9a66f58d3,f9a66f58d3,Nickel,Brass,1,0.8708798415294284
f9a6,f9a6,f9a66f58d3,f9a66f58d3,Brass,Nickel,1,0.8708798415294281
27c4,27c4,27c44d34a4,27c44d34a4,Brass,Brass,1,0.9763992026076578
27c4,27c4,27c44d34a4,27c44d34a4,Brass,Brass,1,0.9763992026076582
89d2,89d2,89d2cec2bc,89d2cec2bc,Brass,Brass,1,0.7646612080107834
89d2,89d2,89d2cec2bc,89d2cec2bc,Brass,Brass,1,0.7646612080107834
8b44,8b44,8b448b9e4c,8b448b9e4c,Nickel,Nickel,1,0.9830784691811328
8b44,8b44,8b448b9e4c,8b448b9e4c,Nickel,Nickel,1,0.9830784691811326
3cad,3cad,3cadb33f2f,3cadb33f2f,Nickel,Brass,1,0.7673242218772299
3cad,3cad,3cadb33f2f,3cadb33f2f,Brass,Nickel,1,0.7673242218772298
006a,006a,006a1314fe,006a1314fe,Brass,Brass,1,0.7203568565553378
006a,006a,006a1314fe,006a1314fe,Brass,Brass,1,0.7181130499938287
8eda,8eda,8edaa51105,8edaa51105,Brass,Nickel,1,0.7858013882829671
8eda,8eda,8edaa51105,8edaa51105,Nickel,Brass,1,0.7855072560302472
9f5c,9f5c,9f5cee2a11,9f5cee2a11,Nickel,Nickel,1,0.9430069397311447
9f5c,9f5c,9f5cee2a11,9f5cee2a11,Nickel,Nickel,1,0.9430069397311449
9e16,9e16,9e169b6b4a,9e169b6b4a,Nickel,Nickel,1,0.9549595228076769
9e16,9e16,9e169b6b4a,9e169b6b4a,Nickel,Nickel,1,0.9549595228076767
2558,2558,255872d83b,255872d83b,Brass,Nickel,1,0.6649444491104235
2558,2558,255872d83b,255872d83b,Nickel,Brass,1,0.6640965575033597
84e0,84e0,84e0e9ad16,84e0e9ad16,Brass,Nickel,1,0.9584320972312185
84e0,84e0,84e0e9ad16,84e0e9ad16,Nickel,Brass,1,0.9584320972312184
9e83,9e83,9e83787977,9e83787977,Brass,Brass,1,0.9342037683180494
9e83,9e83,9e83787977,9e83787977,Brass,Brass,1,0.9342037683180492
cdfa,cdfa,cdfa00c17a,cdfa00c17a,Brass,Nickel,1,0.8125281179019841
cdfa,cdfa,cdfa00c17a,cdfa00c17a,Nickel,Brass,1,0.8125281179019844
5187,5187,5187134316,5187134316,Brass,Brass,1,0.9308891474892546
5187,5187,5187134316,5187134316,Brass,Brass,1,0.9308891474892543
0658,0658,065850e0e3,065850e0e3,Brass,Brass,1,0.9182850360630266
0658,0658,065850e0e3,065850e0e3,Brass,Brass,1,0.9182850360630265
4657,4657,465776f37d,465776f37d,Nickel,Nickel,1,0.8634339500392243
4657,4657,465776f37d,465776f37d,Nickel,Nickel,1,0.8633810164638887
7471,7471,74711b8750,74711b8750,Brass,Nickel,1,0.8223556835046063
7471,7471,74711b8750,74711b8750,Nickel,Brass,1,0.8216354192707326
1fa0,1fa0,1fa0c6d8d0,1fa0c6d8d0,Brass,Nickel,1,0.9415560360140528
1fa0,1fa0,1fa0c6d8d0,1fa0c6d8d0,Nickel,Brass,1,0.9412434586981878
33cc,33cc,33cc68a9eb,33cc68a9eb,Brass,Nickel,1,0.9713742703562463
33cc,33cc,33cc68a9eb,33cc68a9eb,Nickel,Brass,1,0.9713742703562466
326b,326b,326bd7053d,326bd7053d,Nickel,Nickel,1,0.9904662905193747
326b,326b,326bd7053d,326bd7053d,Nickel,Nickel,1,0.9904662905193744
27c0,27c0,27c03bf211,27c03bf211,Nickel,Brass,1,0.6270191621522294
27c0,27c0,27c03bf211,27c03bf211,Brass,Nickel,1,0.6269023479915353
f366,f366,f366f00cde,f366f00cde,Brass,Nickel,1,0.8781944622050109
f366,f366,f366f00cde,f366f00cde,Nickel,Brass,1,0.8781944622050106
5c9d,5c9d,5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,0.9653382366074638
5c9d,5c9d,5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,0.9653382366074637
d469,d469,d469fc3f70,d469fc3f70,Brass,Nickel,1,0.5610939270886137
d469,d469,d469fc3f70,d469fc3f70,Nickel,Brass,1,0.5609068187805659
2a3b,2a3b,2a3b7ab647,2a3b7ab647,Nickel,Brass,1,0.9308338277613809
2a3b,2a3b,2a3b7ab647,2a3b7ab647,Brass,Nickel,1,0.9308338277613804
9fbb,9fbb,9fbbe4fcae,9fbbe4fcae,Nickel,Brass,1,0.8820600886690477
9fbb,9fbb,9fbbe4fcae,9fbbe4fcae,Brass,Nickel,1,0.8824321776379815
a524,a524,a524d36b72,a524d36b72,Brass,Brass,1,0.9404428715175458
a524,a524,a524d36b72,a524d36b72,Brass,Brass,1,0.9404428715175457
7204,7204,7204a1feeb,7204a1feeb,Brass,Brass,1,0.9256298937779459
7204,7204,7204a1feeb,7204a1feeb,Brass,Brass,1,0.9253034289591898
651a,651a,651a720f52,651a720f52,Nickel,Brass,1,0.9289549226163918
651a,651a,651a720f52,651a720f52,Brass,Nickel,1,0.9291612448702832
c208,c208,c2081b71be,c2081b71be,Brass,Nickel,1,0.9051021650650102
c208,c208,c2081b71be,c2081b71be,Nickel,Brass,1,0.9049754894762424
bf77,bf77,bf77a5ca9b,bf77a5ca9b,Nickel,Brass,1,0.9363327886452657
bf77,bf77,bf77a5ca9b,bf77a5ca9b,Brass,Nickel,1,0.9363327886452654
be50,be50,be50e7d534,be50e7d534,Brass,Nickel,1,0.8106263545860452
be50,be50,be50e7d534,be50e7d534,Nickel,Brass,1,0.8126926373449133
93f6,93f6,93f6afc25d,93f6afc25d,Nickel,Brass,1,0.8844271636501014
93f6,93f6,93f6afc25d,93f6afc25d,Brass,Nickel,1,0.8844271636501015
ed47,ed47,ed472f9cda,ed472f9cda,Nickel,Brass,1,0.8735503524746658
ed47,ed47,ed472f9cda,ed472f9cda,Brass,Nickel,1,0.8739398782808729
a49e,a49e,a49e80e2bf,a49e80e2bf,Brass,Nickel,1,0.7276769534187187
a49e,a49e,a49e80e2bf,a49e80e2bf,Nickel,Brass,1,0.727676953418719
114a,114a,114a81160d,114a81160d,Nickel,Brass,1,0.9676086385955821
114a,114a,114a81160d,114a81160d,Brass,Nickel,1,0.9676086385955821
5460,5460,54602388df,54602388df,Nickel,Brass,1,0.9827462849477727
5460,5460,54602388df,54602388df,Brass,Nickel,1,0.9827462849477724
4a85,4a85,4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,0.8738142696872415
4a85,4a85,4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,0.8704023591364539
1588,1588,1588672e36,1588672e36,Brass,Nickel,1,0.9766064060246713
1588,1588,1588672e36,1588672e36,Nickel,Brass,1,0.977257292978055
5a62,5a62,5a62fb7223,5a62fb7223,Nickel,Nickel,1,0.9487158594369665
5a62,5a62,5a62fb7223,5a62fb7223,Nickel,Nickel,1,0.9487158594369665
cd57,cd57,cd576798db,cd576798db,Nickel,Nickel,1,0.7209758619411318
cd57,cd57,cd576798db,cd576798db,Nickel,Nickel,1,0.7205764076875762
0c71,0c71,0c7139a036,0c7139a036,Nickel,Brass,1,0.7112248798413943
0c71,0c71,0c7139a036,0c7139a036,Brass,Nickel,1,0.7112248798413945
fc6e,fc6e,fc6e345a87,fc6e345a87,Brass,Nickel,1,0.8554767242062573
fc6e,fc6e,fc6e345a87,fc6e345a87,Nickel,Brass,1,0.8582977428918019
f8c4,f8c4,f8c4c41732,f8c4c41732,Brass,Nickel,1,0.7542551078527735
f8c4,f8c4,f8c4c41732,f8c4c41732,Nickel,Brass,1,0.7537073347056223
b829,b829,b8299ace38,b8299ace38,Brass,Brass,1,0.8411326793411877
b829,b829,b8299ace38,b8299ace38,Brass,Brass,1,0.8404705308907565
77d9,77d9,77d984eb8b,77d984eb8b,Brass,Nickel,1,0.9506114832084113
77d9,77d9,77d984eb8b,77d984eb8b,Nickel,Brass,1,0.9506114832084112
9d58,9d58,9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,0.6380070163387986
9d58,9d58,9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,0.6380070163387987
9645,9645,9645e12969,9645e12969,Brass,Nickel,1,0.9114137624273949
9645,9645,9645e12969,9645e12969,Nickel,Brass,1,0.9114137624273949
6416,6416,64161ddb14,64161ddb14,Nickel,Nickel,1,0.8691163293303329
6416,6416,64161ddb14,64161ddb14,Nickel,Nickel,1,0.8694614064496303
e139,e139,e139e26428,e139e26428,Nickel,Nickel,1,0.8910758283030634
e139,e139,e139e26428,e139e26428,Nickel,Nickel,1,0.8910758283030633
8c82,8c82,8c82f237f9,8c82f237f9,Brass,Nickel,1,0.8326167742985309
8c82,8c82,8c82f237f9,8c82f237f9,Nickel,Brass,1,0.8290506088358761
8197,8197,8197f401c9,8197f401c9,Nickel,Nickel,1,0.8801360423799354
