Weapon1,Weapon2,Material1,Material2,Hypothesis,Score,Type1,Type2
4e8c87be73,4e8c87be73,Nickel,Brass,1,0.8326460427144101,125b,125b
4e8c87be73,4e8c87be73,Brass,Nickel,1,0.8331195196485586,125b,125b
db9f861795,db9f861795,Brass,Nickel,1,0.9060372650414742,125b,125b
db9f861795,db9f861795,Nickel,Brass,1,0.9060372650414743,125b,125b
d00bf582d1,d00bf582d1,Brass,Nickel,1,0.6978114584800831,125b,125b
d00bf582d1,d00bf582d1,Nickel,Brass,1,0.6978114584800827,125b,125b
5d53b1980d,5d53b1980d,Nickel,Nickel,1,0.9444291241407557,125b,125b
5d53b1980d,5d53b1980d,Nickel,Nickel,1,0.9444291241407557,125b,125b
eeb4c50ec0,eeb4c50ec0,Brass,Nickel,1,0.652604010228198,125b,125b
eeb4c50ec0,eeb4c50ec0,Nickel,Brass,1,0.6528783312481332,125b,125b
0db08b7f9e,0db08b7f9e,Brass,Nickel,1,0.9404036680410052,125b,125b
0db08b7f9e,0db08b7f9e,Nickel,Brass,1,0.9404036680410056,125b,125b
3aba1ffd71,3aba1ffd71,Brass,Brass,1,0.7665784568982369,125b,125b
3aba1ffd71,3aba1ffd71,Brass,Brass,1,0.7665784568982369,125b,125b
a54ce43a84,a54ce43a84,Nickel,Nickel,1,0.9133440112090656,125b,125b
a54ce43a84,a54ce43a84,Nickel,Nickel,1,0.9133105621439696,125b,125b
bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,0.9152395176922836,125b,125b
bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,0.9152395176922838,125b,125b
8d2c6884a2,8d2c6884a2,Brass,Brass,1,0.7898525972483078,125b,125b
8d2c6884a2,8d2c6884a2,Brass,Brass,1,0.789852597248308,125b,125b
e148843b1b,e148843b1b,Nickel,Nickel,1,0.9236735264126884,125b,125b
e148843b1b,e148843b1b,Nickel,Nickel,1,0.9254215295992168,125b,125b
867e742682,867e742682,Nickel,Brass,1,0.9674447850142257,125b,125b
867e742682,867e742682,Brass,Nickel,1,0.9674447850142259,125b,125b
81bb3cb084,81bb3cb084,Brass,Brass,1,0.8238228682157098,125b,125b
