Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Matching Cells,Total Cells
2802,2802,2802b7bac9,2802b7bac9,Brass,Brass,1,5,54
2802,2802,2802b7bac9,2802b7bac9,Brass,Brass,1,3,62
22d9,22d9,22d9b6e193,22d9b6e193,Brass,Brass,1,20,52
22d9,22d9,22d9b6e193,22d9b6e193,Brass,Brass,1,26,58
e625,e625,e625ebb890,e625ebb890,Brass,Brass,1,1,64
e625,e625,e625ebb890,e625ebb890,Brass,Brass,1,1,44
fad5,fad5,fad5b75288,fad5b75288,Brass,Brass,1,5,55
fad5,fad5,fad5b75288,fad5b75288,Brass,Brass,1,2,62
77fb,77fb,77fb3cb91a,77fb3cb91a,Brass,Brass,1,1,73
77fb,77fb,77fb3cb91a,77fb3cb91a,Brass,Brass,1,2,54
a0ee,a0ee,a0eeaed1b6,a0eeaed1b6,Brass,Brass,1,4,58
a0ee,a0ee,a0eeaed1b6,a0eeaed1b6,Brass,Brass,1,3,62
c68e,c68e,c68e6ca665,c68e6ca665,Brass,Brass,1,3,83
c68e,c68e,c68e6ca665,c68e6ca665,Brass,Brass,1,2,75
4da0,4da0,4da0c94dea,4da0c94dea,Brass,Brass,1,2,80
4da0,4da0,4da0c94dea,4da0c94dea,Brass,Brass,1,2,81
92c7,92c7,92c70fe3b7,92c70fe3b7,Nickel,Brass,1,26,75
92c7,92c7,92c70fe3b7,92c70fe3b7,Brass,Nickel,1,30,83
2dbc,2dbc,2dbcc740d7,2dbcc740d7,Brass,Brass,1,1,39
2dbc,2dbc,2dbcc740d7,2dbcc740d7,Brass,Brass,1,1,72
7545,7545,7545c4866d,7545c4866d,Brass,Brass,1,17,58
7545,7545,7545c4866d,7545c4866d,Brass,Brass,1,19,47
54b3,54b3,54b3b48d05,54b3b48d05,Brass,Brass,1,3,83
54b3,54b3,54b3b48d05,54b3b48d05,Brass,Brass,1,3,83
7387,7387,73874b420d,73874b420d,Brass,Brass,1,18,83
7387,7387,73874b420d,73874b420d,Brass,Brass,1,12,84
3d1f,3d1f,3d1fd39982,3d1fd39982,Steel,Brass,1,2,66
3d1f,3d1f,3d1fd39982,3d1fd39982,Brass,Steel,1,5,76
8f89,8f89,8f897faf1c,8f897faf1c,Brass,Brass,1,3,86
8f89,8f89,8f897faf1c,8f897faf1c,Brass,Brass,1,3,87
10aa,10aa,10aa414952,10aa414952,Brass,Brass,1,5,83
10aa,10aa,10aa414952,10aa414952,Brass,Brass,1,3,81
e9f6,e9f6,e9f678f7de,e9f678f7de,Nickel,Steel,1,6,63
e9f6,e9f6,e9f678f7de,e9f678f7de,Steel,Nickel,1,5,77
5b9f,5b9f,5b9fc8e48f,5b9fc8e48f,Brass,Brass,1,3,83
5b9f,5b9f,5b9fc8e48f,5b9fc8e48f,Brass,Brass,1,4,81
a3d4,a3d4,a3d496b0a6,a3d496b0a6,Brass,Brass,1,3,81
a3d4,a3d4,a3d496b0a6,a3d496b0a6,Brass,Brass,1,4,81
7dcd,7dcd,7dcda8c797,7dcda8c797,Brass,Steel,1,7,84
7dcd,7dcd,7dcda8c797,7dcda8c797,Steel,Brass,1,5,72
0de7,0de7,0de7ee9123,0de7ee9123,Brass,Brass,1,16,72
0de7,0de7,0de7ee9123,0de7ee9123,Brass,Brass,1,16,72
903c,903c,903c05e18c,903c05e18c,Nickel,Brass,1,2,83
903c,903c,903c05e18c,903c05e18c,Brass,Nickel,1,2,82
fd58,fd58,fd58445c04,fd58445c04,Brass,Nickel,1,2,74
fd58,fd58,fd58445c04,fd58445c04,Nickel,Brass,1,3,83
5eb2,5eb2,5eb26faa84,5eb26faa84,Brass,Brass,1,2,86
5eb2,5eb2,5eb26faa84,5eb26faa84,Brass,Brass,1,1,75
0a40,0a40,0a40aa7def,0a40aa7def,Brass,Steel,1,3,81
0a40,0a40,0a40aa7def,0a40aa7def,Steel,Brass,1,3,68
7398,7398,73987ddd85,73987ddd85,Nickel,Nickel,1,7,75
7398,7398,73987ddd85,73987ddd85,Nickel,Nickel,1,3,83
7c68,7c68,7c688a3b8a,7c688a3b8a,Brass,Brass,1,2,72
7c68,7c68,7c688a3b8a,7c688a3b8a,Brass,Brass,1,2,72
4a46,4a46,4a46232b29,4a46232b29,Brass,Brass,1,3,60
4a46,4a46,4a46232b29,4a46232b29,Brass,Brass,1,3,58
e5bf,e5bf,e5bf6d1345,e5bf6d1345,Steel,Brass,1,3,72
e5bf,e5bf,e5bf6d1345,e5bf6d1345,Brass,Steel,1,4,78
f1e9,f1e9,f1e98e4af6,f1e98e4af6,Brass,Brass,1,5,83
f1e9,f1e9,f1e98e4af6,f1e98e4af6,Brass,Brass,1,2,83
41a5,41a5,41a50cac97,41a50cac97,Brass,Brass,1,4,84
41a5,41a5,41a50cac97,41a50cac97,Brass,Brass,1,3,82
416e,416e,416eee8042,416eee8042,Brass,Brass,1,4,87
416e,416e,416eee8042,416eee8042,Brass,Brass,1,4,88
41e9,41e9,41e9b00cd6,41e9b00cd6,Nickel,Brass,1,2,75
41e9,41e9,41e9b00cd6,41e9b00cd6,Brass,Nickel,1,1,68
d3ad,d3ad,d3adfff3b8,d3adfff3b8,Brass,Brass,1,4,86
