Weapon1,Weapon2,Material1,Material2,Hypothesis,Total Cells,Matching Cells,Type1,Type2
2802b7bac9,2802b7bac9,Brass,Brass,1,54,5,fc09,fc09
2802b7bac9,2802b7bac9,Brass,Brass,1,62,3,fc09,fc09
22d9b6e193,22d9b6e193,Brass,Brass,1,52,20,fc09,fc09
22d9b6e193,22d9b6e193,Brass,Brass,1,58,26,fc09,fc09
e625ebb890,e625ebb890,Brass,Brass,1,64,1,fc09,fc09
e625ebb890,e625ebb890,Brass,Brass,1,44,1,fc09,fc09
fad5b75288,fad5b75288,Brass,Brass,1,55,5,fc09,fc09
fad5b75288,fad5b75288,Brass,Brass,1,62,2,fc09,fc09
77fb3cb91a,77fb3cb91a,Brass,Brass,1,73,1,fc09,fc09
77fb3cb91a,77fb3cb91a,Brass,Brass,1,54,2,fc09,fc09
a0eeaed1b6,a0eeaed1b6,Brass,Brass,1,58,4,fc09,fc09
a0eeaed1b6,a0eeaed1b6,Brass,Brass,1,62,3,fc09,fc09
c68e6ca665,c68e6ca665,Brass,Brass,1,83,3,fc09,fc09
c68e6ca665,c68e6ca665,Brass,Brass,1,75,2,fc09,fc09
4da0c94dea,4da0c94dea,Brass,Brass,1,80,2,fc09,fc09
4da0c94dea,4da0c94dea,Brass,Brass,1,81,2,fc09,fc09
92c70fe3b7,92c70fe3b7,Nickel,Brass,1,75,26,fc09,fc09
92c70fe3b7,92c70fe3b7,Brass,Nickel,1,83,30,fc09,fc09
2dbcc740d7,2dbcc740d7,Brass,Brass,1,39,1,fc09,fc09
2dbcc740d7,2dbcc740d7,Brass,Brass,1,72,1,fc09,fc09
7545c4866d,7545c4866d,Brass,Brass,1,58,17,fc09,fc09
7545c4866d,7545c4866d,Brass,Brass,1,47,19,fc09,fc09
54b3b48d05,54b3b48d05,Brass,Brass,1,83,3,fc09,fc09
54b3b48d05,54b3b48d05,Brass,Brass,1,83,3,fc09,fc09
73874b420d,73874b420d,Brass,Brass,1,83,18,fc09,fc09
73874b420d,73874b420d,Brass,Brass,1,84,12,fc09,fc09
3d1fd39982,3d1fd39982,Steel,Brass,1,66,2,fc09,fc09
3d1fd39982,3d1fd39982,Brass,Steel,1,76,5,fc09,fc09
8f897faf1c,8f897faf1c,Brass,Brass,1,86,3,fc09,fc09
8f897faf1c,8f897faf1c,Brass,Brass,1,87,3,fc09,fc09
10aa414952,10aa414952,Brass,Brass,1,83,5,fc09,fc09
10aa414952,10aa414952,Brass,Brass,1,81,3,fc09,fc09
e9f678f7de,e9f678f7de,Nickel,Steel,1,63,6,fc09,fc09
e9f678f7de,e9f678f7de,Steel,Nickel,1,77,5,fc09,fc09
5b9fc8e48f,5b9fc8e48f,Brass,Brass,1,83,3,fc09,fc09
5b9fc8e48f,5b9fc8e48f,Brass,Brass,1,81,4,fc09,fc09
a3d496b0a6,a3d496b0a6,Brass,Brass,1,81,3,fc09,fc09
a3d496b0a6,a3d496b0a6,Brass,Brass,1,81,4,fc09,fc09
7dcda8c797,7dcda8c797,Brass,Steel,1,84,7,fc09,fc09
7dcda8c797,7dcda8c797,Steel,Brass,1,72,5,fc09,fc09
0de7ee9123,0de7ee9123,Brass,Brass,1,72,16,fc09,fc09
0de7ee9123,0de7ee9123,Brass,Brass,1,72,16,fc09,fc09
903c05e18c,903c05e18c,Nickel,Brass,1,83,2,fc09,fc09
903c05e18c,903c05e18c,Brass,Nickel,1,82,2,fc09,fc09
fd58445c04,fd58445c04,Brass,Nickel,1,74,2,fc09,fc09
fd58445c04,fd58445c04,Nickel,Brass,1,83,3,fc09,fc09
5eb26faa84,5eb26faa84,Brass,Brass,1,86,2,fc09,fc09
5eb26faa84,5eb26faa84,Brass,Brass,1,75,1,fc09,fc09
0a40aa7def,0a40aa7def,Brass,Steel,1,81,3,fc09,fc09
0a40aa7def,0a40aa7def,Steel,Brass,1,68,3,fc09,fc09
73987ddd85,73987ddd85,Nickel,Nickel,1,75,7,fc09,fc09
73987ddd85,73987ddd85,Nickel,Nickel,1,83,3,fc09,fc09
7c688a3b8a,7c688a3b8a,Brass,Brass,1,72,2,fc09,fc09
7c688a3b8a,7c688a3b8a,Brass,Brass,1,72,2,fc09,fc09
4a46232b29,4a46232b29,Brass,Brass,1,60,3,fc09,fc09
4a46232b29,4a46232b29,Brass,Brass,1,58,3,fc09,fc09
e5bf6d1345,e5bf6d1345,Steel,Brass,1,72,3,fc09,fc09
e5bf6d1345,e5bf6d1345,Brass,Steel,1,78,4,fc09,fc09
f1e98e4af6,f1e98e4af6,Brass,Brass,1,83,5,fc09,fc09
f1e98e4af6,f1e98e4af6,Brass,Brass,1,83,2,fc09,fc09
41a50cac97,41a50cac97,Brass,Brass,1,84,4,fc09,fc09
41a50cac97,41a50cac97,Brass,Brass,1,82,3,fc09,fc09
416eee8042,416eee8042,Brass,Brass,1,87,4,fc09,fc09
416eee8042,416eee8042,Brass,Brass,1,88,4,fc09,fc09
41e9b00cd6,41e9b00cd6,Nickel,Brass,1,75,2,fc09,fc09
41e9b00cd6,41e9b00cd6,Brass,Nickel,1,68,1,fc09,fc09
d3adfff3b8,d3adfff3b8,Brass,Brass,1,86,4,fc09,fc09
d3adfff3b8,d3adfff3b8,Brass,Brass,1,83,6,fc09,fc09
e2a95bf1f1,e2a95bf1f1,Brass,Brass,1,83,11,fc09,fc09
e2a95bf1f1,e2a95bf1f1,Brass,Brass,1,82,10,fc09,fc09
e2e185abaa,e2e185abaa,Brass,Nickel,1,79,29,fc09,fc09
e2e185abaa,e2e185abaa,Nickel,Brass,1,81,27,fc09,fc09
3760242a91,3760242a91,Nickel,Brass,1,82,6,fc09,fc09
3760242a91,3760242a91,Brass,Nickel,1,84,3,fc09,fc09
42e1f45c91,42e1f45c91,Brass,Brass,1,78,3,fc09,fc09
42e1f45c91,42e1f45c91,Brass,Brass,1,83,4,fc09,fc09
4e8c87be73,4e8c87be73,Nickel,Brass,1,21,5,125b,125b
4e8c87be73,4e8c87be73,Brass,Nickel,1,20,2,125b,125b
db9f861795,db9f861795,Brass,Nickel,1,26,4,125b,125b
db9f861795,db9f861795,Nickel,Brass,1,21,8,125b,125b
d00bf582d1,d00bf582d1,Brass,Nickel,1,16,2,125b,125b
d00bf582d1,d00bf582d1,Nickel,Brass,1,19,2,125b,125b
5d53b1980d,5d53b1980d,Nickel,Nickel,1,22,9,125b,125b
5d53b1980d,5d53b1980d,Nickel,Nickel,1,18,7,125b,125b
e947234b60,e947234b60,Nickel,Nickel,1,26,14,125b,125b
e947234b60,e947234b60,Nickel,Nickel,1,26,15,125b,125b
e835221e42,e835221e42,Brass,Brass,1,24,2,125b,125b
e835221e42,e835221e42,Brass,Brass,1,28,2,125b,125b
eeb4c50ec0,eeb4c50ec0,Brass,Nickel,1,20,10,125b,125b
eeb4c50ec0,eeb4c50ec0,Nickel,Brass,1,25,11,125b,125b
0db08b7f9e,0db08b7f9e,Brass,Nickel,1,18,0,125b,125b
0db08b7f9e,0db08b7f9e,Nickel,Brass,1,20,1,125b,125b
3aba1ffd71,3aba1ffd71,Brass,Brass,1,26,2,125b,125b
3aba1ffd71,3aba1ffd71,Brass,Brass,1,18,2,125b,125b
a54ce43a84,a54ce43a84,Nickel,Nickel,1,23,6,125b,125b
a54ce43a84,a54ce43a84,Nickel,Nickel,1,26,5,125b,125b
bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,20,17,125b,125b
bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,20,14,125b,125b
