Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Matching Cells,Total Cells
2802,2802,2802b7bac9,2802b7bac9,Brass,Brass,1,83,376
2802,2802,2802b7bac9,2802b7bac9,Brass,Brass,1,91,376
22d9,22d9,22d9b6e193,22d9b6e193,Brass,Brass,1,8,177
22d9,22d9,22d9b6e193,22d9b6e193,Brass,Brass,1,7,341
e625,e625,e625ebb890,e625ebb890,Brass,Brass,1,35,148
e625,e625,e625ebb890,e625ebb890,Brass,Brass,1,26,147
fad5,fad5,fad5b75288,fad5b75288,Brass,Brass,1,97,185
fad5,fad5,fad5b75288,fad5b75288,Brass,Brass,1,98,177
77fb,77fb,77fb3cb91a,77fb3cb91a,Brass,Brass,1,2,121
77fb,77fb,77fb3cb91a,77fb3cb91a,Brass,Brass,1,2,163
a0ee,a0ee,a0eeaed1b6,a0eeaed1b6,Brass,Brass,1,12,154
a0ee,a0ee,a0eeaed1b6,a0eeaed1b6,Brass,Brass,1,12,148
c68e,c68e,c68e6ca665,c68e6ca665,Brass,Brass,1,12,166
c68e,c68e,c68e6ca665,c68e6ca665,Brass,Brass,1,6,164
4da0,4da0,4da0c94dea,4da0c94dea,Brass,Brass,1,20,148
4da0,4da0,4da0c94dea,4da0c94dea,Brass,Brass,1,28,148
92c7,92c7,92c70fe3b7,92c70fe3b7,Nickel,Brass,1,47,148
92c7,92c7,92c70fe3b7,92c70fe3b7,Brass,Nickel,1,47,147
2dbc,2dbc,2dbcc740d7,2dbcc740d7,Brass,Brass,1,31,145
2dbc,2dbc,2dbcc740d7,2dbcc740d7,Brass,Brass,1,39,145
7545,7545,7545c4866d,7545c4866d,Brass,Brass,1,5,153
7545,7545,7545c4866d,7545c4866d,Brass,Brass,1,4,128
54b3,54b3,54b3b48d05,54b3b48d05,Brass,Brass,1,36,149
54b3,54b3,54b3b48d05,54b3b48d05,Brass,Brass,1,31,148
7387,7387,73874b420d,73874b420d,Brass,Brass,1,17,140
7387,7387,73874b420d,73874b420d,Brass,Brass,1,22,147
3d1f,3d1f,3d1fd39982,3d1fd39982,Steel,Brass,1,76,175
3d1f,3d1f,3d1fd39982,3d1fd39982,Brass,Steel,1,84,186
8f89,8f89,8f897faf1c,8f897faf1c,Brass,Brass,1,12,167
8f89,8f89,8f897faf1c,8f897faf1c,Brass,Brass,1,13,163
10aa,10aa,10aa414952,10aa414952,Brass,Brass,1,22,200
10aa,10aa,10aa414952,10aa414952,Brass,Brass,1,21,220
e9f6,e9f6,e9f678f7de,e9f678f7de,Nickel,Steel,1,6,163
e9f6,e9f6,e9f678f7de,e9f678f7de,Steel,Nickel,1,3,157
5b9f,5b9f,5b9fc8e48f,5b9fc8e48f,Brass,Brass,1,13,146
5b9f,5b9f,5b9fc8e48f,5b9fc8e48f,Brass,Brass,1,11,148
a3d4,a3d4,a3d496b0a6,a3d496b0a6,Brass,Brass,1,33,145
a3d4,a3d4,a3d496b0a6,a3d496b0a6,Brass,Brass,1,28,147
